stt,title,road,parking,square,price,dis_q,dis,date
7069,"SIÊU HIẾM 82.5m2 đấu giá X1 thôn Đìa - Nam Hồng - Đông Anh , cách đường 23B chỉ 100m",12m,0,82.0,"4,62 tỷ",Huyện Đông Anh,"Đường Quốc lộ 23B, Xã Nam Hồng, Huyện Đông Anh, Hà Nội",05/05/2023
7070,CẦN BÁN 70M2 XUÂN BÁCH - QUANG TIẾN CHỈ 12TR/M2,"3,3m",0,70.0,890 triệu,Huyện Sóc Sơn,"Đường Tỉnh Lộ 131, Xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",05/05/2023
7071,950tr sở hữu ngay 51.4m2 view hồ Bắc Thượng - Quang Tiến đường 5m,5m,0,51.0,950 triệu,Huyện Sóc Sơn,"Đường Tỉnh Lộ 131, Xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",05/05/2023
7072,Cần bán 64.5m2 view hồ Bắc Thượng – Quang Tiến giá 16tr/m2,3m,0,64.0,"1,032 tỷ",Huyện Sóc Sơn,"Đường Tỉnh Lộ 131, Xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",05/05/2023
7073,"BÁN NHANH 100m2 đấu giá Bắc Hạ - Quang Tiến , giá 2xtr/m2",10m,0,100.0,"2,9 tỷ",Huyện Sóc Sơn,"Đường Tỉnh Lộ 131, Xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",05/05/2023
7074,"Cắt lỗ 144m2 Xuân Bách - Quang Tiến, MT 6m, đường 4m",4m,0,144.0,"2,666 tỷ",Huyện Sóc Sơn,"Đường Tỉnh Lộ 131, Xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",05/05/2023
7075,CẮT LỖ 67.5M2 LỄ PHÁP - TIÊN DƯƠNG - ĐÔNG ANH,3m,0,67.0,"2,362 tỷ",Huyện Đông Anh,"Đường Võ Nguyên Giáp, Xã Tiên Dương, Huyện Đông Anh, Hà Nội",05/05/2023
7076,"TRỤC CHÍNH KINH DOANH HẬU DƯỠNG – KIM CHUNG 63M2, ĐƯỜNG APHAN",6m,0,63.0,"3,671 tỷ",Huyện Đông Anh,"Đường Kim Chung, Xã Kim Chung, Huyện Đông Anh, Hà Nội",05/05/2023
7077,CẮT LỖ 117m2 mặt tiền 7m đường oto tránh tại Đại Mạch – Đông Anh,6m,0,117.0,"3,627 tỷ",Huyện Đông Anh,"Đường Bắc Thăng Long-Nội Bài, Xã Đại Mạch, Huyện Đông Anh, Hà Nội",05/05/2023
7078,CẮT LỖ 84m² đất đấu giá điểm X1 Bến Trung - Bắc Hồng - Đông Anh,12m,0,84.0,"3,02 tỷ",Huyện Đông Anh,"Đường Võ Văn Kiệt, Xã Bắc Hồng, Huyện Đông Anh, Hà Nội",05/05/2023
7079,Chính chủ gửi bán 184.8m2 Đại Bằng - Nguyên Khê - Đông Anh - Hà Nội . Gía 35tr/m2,5m,0,184.0,"6,468 tỷ",Huyện Đông Anh,"Đường Võ Chí Công, Xã Nguyên Khê, Huyện Đông Anh, Hà Nội",05/05/2023
7080,CẮT LỖ 184.8m2 ĐẠI BẰNG - NGUYÊN KHÊ - ĐÔNG ANH,5m,0,184.0,"6,468 tỷ",Huyện Đông Anh,"Đường Võ Nguyên Giáp, Xã Nguyên Khê, Huyện Đông Anh, Hà Nội",05/05/2023
7081,CẮT LỖ LÔ GÓC 84m2 đấu giá X1 Bến Trung - Bắc Hồng - Đông Anh.,12m,0,84.0,3 tỷ,Huyện Đông Anh,"Đường Võ Nguyên Giáp, Xã Bắc Hồng, Huyện Đông Anh, Hà Nội",05/05/2023
7082,Cần bán 53.9m2 Lễ Pháp - Tiên Dương - Đông Anh . Gía nhỉnh 1.5 tỷ,3m,0,54.0,"1,59 tỷ",Huyện Đông Anh,"Đường Võ Nguyên Giáp, Xã Tiên Dương, Huyện Đông Anh, Hà Nội",05/05/2023
7083,CẮT LỖ 90M2 BÌA LÀNG TRUNG THÔN - ĐÔNG HỘI - ĐÔNG ANH,10m,0,90.0,"7,25 tỷ",Huyện Đông Anh,"Đường Đông Hội, Xã Đông Hội, Huyện Đông Anh, Hà Nội",05/05/2023
7084,"CẮT LỖ 100M2 TỔ 5 TT QUANG MINH - MÊ LINH , MẶT TIỀN 6.67M",14m,0,100.0,"3,5 tỷ",Huyện Mê Linh,"Đường Võ Văn Kiệt, Thị trấn Quang Minh, Huyện Mê Linh, Hà Nội",05/05/2023
7085,"BÁN NHANH 50M2 KIM NỖ - ĐÔNG ANH ,CÁCH TRỤC CHÍNH 50M",3m,0,50.0,"1,6 tỷ",Huyện Đông Anh,"Đường Vân Trì, Xã Kim Nỗ, Huyện Đông Anh, Hà Nội",05/05/2023
7086,"BÁN NHANH 75M2 SẴN NHÀ CẤP 4 TT ĐÔNG ANH , GIÁ 25TR/M2","2,5m",0,75.0,"1,877 tỷ",Huyện Đông Anh,"Đường Quốc Lộ 3, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",05/05/2023
7087,"CẦN BÁN 48.4M2 TỔ 4 TT QUANG MINH -MÊ LINH , GIÁ CHỈ 1.260 TỶ","2,5m",0,49.0,"1,26 tỷ",Huyện Mê Linh,"Đường Võ Văn Kiệt, Thị trấn Quang Minh, Huyện Mê Linh, Hà Nội",05/05/2023
7088,"Bán gấp 3300m2 đất sổ đỏ lâu dài tại mặt đường Phạm Văn Bạch, Cầu Giấy, chỉ 915 tỷ.",40m,0,3300.0,915 tỷ,Quận Cầu Giấy,"Đường Phạm Văn Bạch, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",05/05/2023
7089,"Bán đất Phan Trọng Tuệ 47m- mặt tiền 4.2m, 3 tỷ, xe tải tránh",10m,1,47.0,3 tỷ,Quận Hoàng Mai,"Đường Kim Giang, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",05/05/2023
7090,"ĐẤT NỀN CHƯƠNG MỸ , DIỆN TÍCH 285M , MẶT TIỀN 9M , GIÁ CHỈ 8TR/1M",5m,0,285.0,8 triệu / m2,Huyện Chương Mỹ,"Đường Tỉnh lộ 419, Thị trấn Xuân Mai, Huyện Chương Mỹ, Hà Nội",05/05/2023
7091,"BÁN ĐẤT TẶNG NHÀ , CẦU GIẤY 130M , MT 10M , GIÁ  13TY6",7m,0,130.0,"16,6 tỷ",Quận Cầu Giấy,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",05/05/2023
